1	500	500	[500]	TW(hoofd,vrij)	0.813008	O	B-NP	0	ROOT
2	;	;	[;]	LET()	1.000000	O	O	1	punct
3	Last	last	[last]	N(soort,ev,basis,zijd,stan)	0.666667	B-PRO	B-NP	1	mod
4	van	van	[van]	VZ(init)	0.999695	O	B-PP	3	mod
5	hypertensie	hypertensie	[hyper][tensie]	N(soort,ev,basis,zijd,stan)	0.997691	O	B-NP	4	obj1
6	501	501	[501]	TW(hoofd,vrij)	0.981818	O	B-NP	5	app
7	;	;	[;]	LET()	1.000000	O	O	6	punct
8	Last	last	[last]	N(soort,ev,basis,zijd,stan)	0.666667	B-PRO	B-NP	13	su
9	van	van	[van]	VZ(init)	0.999695	O	B-PP	8	mod
10	hypertensie	hypertensie	[hyper][tensie]	N(soort,ev,basis,zijd,stan)	0.999176	O	B-NP	11	cnj
11	en	en	[en]	VG(neven)	0.999615	O	B-CONJP	9	obj1
12	cholesterol	cholesterol	[cholesterol]	N(soort,ev,basis,zijd,stan)	0.998006	O	B-NP	11	cnj
13	is	zijn	[zijn]	WW(pv,tgw,ev)	0.999447	O	B-VP	0	ROOT
14	veel	veel	[veel]	VNW(onbep,grad,stan,vrij,zonder,basis)	0.986577	O	B-ADJP	15	me
15	te	te	[te]	BW()	0.979021	O	I-ADJP	13	mod
16	hoog	hoog	[hoog]	ADJ(vrij,basis,zonder)	0.830986	O	I-ADJP	17	mod
17	502	502	[502]	TW(hoofd,vrij)	0.684934	O	B-NP	20	su
18	;	;	[;]	LET()	1.000000	O	O	17	punct
19	patient	patient	[patient]	N(soort,ev,basis,zijd,stan)	0.836364	O	B-NP	20	su
20	is	zijn	[zijn]	WW(pv,tgw,ev)	0.999447	O	B-VP	0	ROOT
21	binnengekomen	binnenkomen	[binnen][ge][kom][en]	WW(vd,vrij,zonder)	0.999154	O	I-VP	20	vc
22	met	met	[met]	VZ(init)	0.999728	O	B-PP	21	mod
23	pijn	pijn	[pijn]	N(soort,ev,basis,zijd,stan)	0.998306	O	B-NP	22	obj1
24	op	op	[op]	VZ(init)	0.998108	O	B-PP	23	mod
25	de	de	[de]	LID(bep,stan,rest)	0.999964	O	B-NP	26	det
